topic_id,topic_label,n_docs,ai_sentiment_mean,human_sentiment_mean,admiration_mean,gratitude_mean,love_mean,sadness_mean,grief_mean,nervousness_mean
117,Topic 117,35,,,0.004440216899716428,0.000837608370264726,0.043167108623310926,0.0034904636309615205,0.0006153370403418583,0.0005416961295330631
118,emoji / emojis / okay,35,0.0,,0.0857308253845466,0.0636672214513445,0.07199391014541366,0.015499492657337605,0.001090085385034659,0.0018007149462521607
119,idea / idea thank / good idea,35,1.0,1.0,0.5288893219316378,0.42179509583178776,0.14977888459772137,0.002196197669088308,0.0006422005776715065,0.0008438383278969143
122,draw / image prompt / prompt write,34,,,0.020398527479675764,0.0011328942003755776,0.017850506148533896,0.0012597337036448367,0.00035462702876162334,0.0006740728242541937
123,merry / merry christmas / christmas,34,,,0.02222498122821836,0.04290260373604456,0.07432416866204757,0.0024512247867224846,0.0007985493207610596,0.0017080017432282843
121,custom instructions / custom / instructions,34,-1.0,,0.05078845334013321,0.08536678103914977,0.02039639712037409,0.01740463130580097,0.0012070766139967257,0.010853148391213515
120,limit / limits / weekly,34,0.0,,0.060694571839549634,0.05350591374222217,0.018083338750704357,0.003005457739003331,0.0005726985366302816,0.0014004353070049547
124,bob / adhd / adhd bob,33,,,0.05382311965381219,0.08413663091293226,0.07681779302727205,0.008660863010763105,0.000832639825988956,0.006405848730179115
125,milo / fable / song,33,1.0,,0.07267818432724611,0.07918009166006056,0.15927011032842778,0.0936137682821771,0.004385446752139339,0.008190513524547869
126,japanese / bomb / pearl,32,,,0.00495508026870084,0.0019011570511793252,0.0011333113552609575,0.017808465347115998,0.0014166643381940958,0.0034508492271925206
127,layla / spend / just sit,32,1.0,1.0,0.20294814148292062,0.0021985771240906615,0.1940301552240271,0.019845928454742534,0.0009794592951948289,0.0013060237042736844
128,fake / post / typo,32,,,0.005878435333215748,0.03329822017440165,0.0024637920441819006,0.03059819443114975,0.0010306157118975534,0.003258650334146296
129,instant / thinking instant / instant thinking,32,0.14285714285714285,,0.02363825885549886,0.0015644903919564968,0.04878100462428847,0.00528304101771937,0.0004888185435447667,0.0009973555795568245
134,wishing / wishes / wish,31,,-1.0,0.14481312503302168,0.22722646684175538,0.04794618462948429,0.006601477744087817,0.001992865891811708,0.0019370539267847856
133,mocking / trolls / hate,31,1.0,-1.0,0.03261677956493992,0.06788001263715071,0.06090087705900172,0.1165552566507681,0.00540322843505325,0.004171877200039284
132,sora / venus / heh,31,-1.0,,0.07823073078555265,0.0014441162763227289,0.08129773074535714,0.006456877386588003,0.0008353508845527446,0.005817367711936259
131,hitler / nazi / actions,31,,,0.01071297711948113,0.0008273726547955566,0.04139260370321872,0.002996167663725153,0.0004604888672474772,0.0030535483294384432
130,jane / ending / journal,31,,,0.11941884163271395,0.07908978248052599,0.18733770009167794,0.04973247860963907,0.002904094357114856,0.0025052218651023484
135,alex / journal / deprecation,30,1.0,1.0,0.11766145680254946,0.03779758977955983,0.14992046027521913,0.13913434594869614,0.005521309823476864,0.008470566544565373
137,coding / claude / use claude,30,-0.16666666666666666,1.0,0.1311885235637116,0.009123152033619892,0.007042190516949631,0.0025035593901217607,0.0004758759867399931,0.0007588694466297359
138,replika / sarina / personality,30,-0.5,-1.0,0.07254813203277687,0.0024484698772236396,0.055883824326641234,0.011780172522412613,0.001012810780472743,0.006032642556237988
139,bot / bots / wing,30,-1.0,,0.037459860423890254,0.03414909887263396,0.031490815589980535,0.00335408843238838,0.0004899345944674375,0.0009371932042995468
136,love love / love / omg love,30,1.0,1.0,0.08727536338071028,0.00910889554846411,0.9155464927355449,0.004251477937214076,0.0005124716427720462,0.0007897786349834253
142,ring / wedding / married,29,1.0,,0.39090750634204596,0.18395257092347964,0.25664148214554156,0.018008574731005676,0.0018107967575658754,0.0020035946594173857
143,rerouting / reroute / chat,29,-0.5,,0.027461681808023875,0.0011537777880158532,0.007779858583897545,0.021788507830431878,0.0009979090817947068,0.003139363196859104
144,food / eat / pets,29,-1.0,,0.03560688073249084,0.0019233733544061925,0.002878420809604998,0.060156906712077685,0.00273701470598161,0.00570466601167372
141,gpt / claude / equipment,29,-0.3333333333333333,,0.11295365620251938,0.002515896717247007,0.06854931684913403,0.00830256487323164,0.0008034029702559627,0.003617810115774146
140,thank kind / kind words / thank,29,1.0,1.0,0.13567770771072085,0.9230164209348631,0.003628935403961303,0.03416670807075269,0.00282349778491811,0.0004590464914458451
146,stunning / gorgeous / beautiful,28,,1.0,0.8205129210171955,0.040771355313024414,0.10203263452318165,0.002045692306377792,0.00046597906579596123,0.0003556913221213368
147,zev / hes / new years,28,1.0,,0.0500720793788787,0.035725910536192326,0.03893265797108013,0.01019401705915308,0.0008206626106194952,0.0013734823254968173
148,claude gemini / gemini / gemini claude,28,1.0,,0.14013317923984556,0.00753726671973709,0.05745315462159591,0.06996804723998398,0.0028745982038214735,0.016390338737307632
149,goblin / word / use word,28,-0.35294117647058826,,0.011255662480834872,0.0016318538951704145,0.0076714906920512605,0.002566141411080025,0.00052117819099554,0.0010284720135262302
150,hello welcome / hello / welcome,28,1.0,,0.06264615812272366,0.33902550319388475,0.031842655202906044,0.0020510789285513704,0.0006869421163823322,0.0008392908935742785
151,happy holidays / holidays / christmas,28,,,0.06106924202426204,0.12465604156022891,0.20586578109734027,0.008630892228601235,0.0018060260980356751,0.0035072295556476873
145,removed removed / removed,28,,,0.0026854798197746277,0.0013973115710541606,0.002225498203188181,0.02576133795082569,0.002752103144302964,0.0011326223611831665
156,lucien / popcorn / understand,27,0.0,1.0,0.08607808528123079,0.10611163974735299,0.06353631062234787,0.045244131120853126,0.002656450995817539,0.008796094936163476
158,yeah yeah / yeah / yep,27,-1.0,,0.038374523571864876,0.0009301640060988979,0.00593184221630778,0.0014326215540576312,0.00027657384419365336,0.00035765234443479804
157,hilarious / funny / hysterical,27,-1.0,,0.029004778631066007,0.040919143605235686,0.040576366474851966,0.006269563330095951,0.0007019014468554545,0.0025726851783002967
154,sleep / sleeping / habits,27,-1.0,,0.016921755493428833,0.06435707753634132,0.03569681152563404,0.09303472713239629,0.002860186000665029,0.003945114140623008
155,seconds / road / snacks,27,1.0,1.0,0.05970182025878414,0.059863904566521305,0.02232642556191422,0.00805507818801777,0.0008563634576232828,0.0011110569644693492
